Model Name,Reference Price (Yuan),Brand,Model,Production Method,Origin,Engine,Max Horsepower (Ps),Max Power/Speed (kW/rpm),Transmission,ABS,CBS,Dimensions (LxWxH mm),Seat Height (mm),Curb Weight (kg),Fuel Tank Capacity (L),Max Speed (km/h),Official Average Fuel Consumption (L/100km),Range (km),Available Colors,Max Horsepower (Ps)_is_imputed,Seat Height (mm)_is_imputed,Curb Weight (kg)_is_imputed,Fuel Tank Capacity (L)_is_imputed,Max Speed (km/h)_is_imputed
三铃 SL125-5S,Currently no quotation available,Sanling,Retro,Domestic,Pengma Industrial Co,single cylinder four stroke air-cooled 125cc,10.9,8/,Not specified,Not specified,Not specified,1965x835x1100,770.0,115.0,0.0,90.0,Not specified,Not specified,Not Specified,False,True,False,False,False
倍思客 CL250-F,19800,Besike,Retro,Domestic,Changling Group Changchun Motorcycle Industry Co,inline dual cylinder four stroke water-cooled 250cc,25.0,18.4/8000,international 6-speed,none,xx(mm),2300x780x1115,780.0,130.0,15.0,125.0,Not specified,500,"Starlight Black, Turquoise Blue, Pearl Red",False,False,True,False,False
本菱 青云252,11800,Benling,Street car,domestic production,Shanghai Benling Motorcycle Manufacturing Co,single cylinder four stroke oil cooled 250cc,17.0,12.5/8000,international 5-speed,Not specified,xx(mm),1890x775x1070,780.0,138.0,14.0,130.0,2.5,500,"Battle Grey, Fantasy Blue, Peacock Blue, Vitality Orange, Vitality Red",False,False,False,False,False
本菱 维也纳,8280,Benling,Pedal,domestic,Shanghai Benling Motorcycle Manufacturing Co,single cylinder four stroke air-cooled 125cc,9.2,6.8/7500,CVT continuously variable transmission automatic transmission,none,xx(mm),1905x680x1145,730.0,105.0,12.0,85.0,2.2,500,"Morandi Green, Mamba Green, Gulf Oil Edition, Glacier White, Matte Grey, New York Grey",False,False,False,False,False
威科力 Force,22000,Weikeli,Pedal,domestic,Chinese manufacturer Juneng Motorcycle Technology Co,Not Specified,23.8,17.5/,Not Specified,standard,Not specified,2095x835x1110,780.0,160.0,9.0,125.0,Not Specified,240,"black, white, gray, blue, red, yellow",False,False,False,True,False
威科力 Bravo,9800,Weikeli,Pedal,domestic,Chinese manufacturer Juneng Motorcycle Technology Co,Not Specified,12.6,Not Specified,Not Specified,Not specified,Not specified,1780x690x1150,780.0,85.0,9.0,55.0,Not Specified,110,Not Specified,True,False,False,True,False
现代 小铃童边三轮,16800,Hyundai,Three wheel,Domestic,Guangdong Dafu Motorcycle Co,single cylinder four stroke air-cooled 150cc,9.2,6.8/,international 4-speed,Not specified,Not specified,1680x1500x1030,770.0,170.0,0.0,95.0,Not specified,Not specified,"Goose Yellow, Bay Orange, Military Green, Petroleum Blue",False,True,False,False,True
KAMAX TQ125,10800,KAMAX,Bending beam,domestic,Chongqing Dalong Yufeng Motorcycle Manufacturing Co,single cylinder four stroke air-cooled 125cc,9.2,6.8/8000,cycle 4-speed,standard,Not specified,1915x720x1020,760.0,115.0,3.8,80.0,Not specified,Not specified,Not Specified,False,False,False,False,False
永源 战隼350,18993,Yongyuan,Sports car,domestic production,Not Specified,dual cylinder four stroke water-cooled 350cc,23.79,17.5/8500,Not specified,Not Specified,Not specified,2000x760x1150,760.0,155.0,16.0,150.0,3.58,Not specified,Not Specified,False,False,False,False,False
永源 枭风1号YY350-9A,16605,Yongyuan,Street car,domestic production,Not Specified,320cc,26.1,19.2/8500,Not specified,Not Specified,Not specified,2080x790x1100,850.0,165.0,18.0,130.0,Not specified,Not specified,Not Specified,False,False,False,False,False
永源 战豹 YY250,18056,Yongyuan,Street car,domestic production,Not Specified,dual cylinder water-cooled 249cc,19.71,14.5/,Not specified,Not Specified,Not specified,2160,770.0,130.0,13.0,130.0,Not specified,Not specified,Not Specified,False,True,True,False,False
永源 科迈多YY350-10A,24900,Yongyuan,Cruising crown prince,Domestic,Not Specified,inline dual cylinder four stroke water-cooled 350cc,22.0,16.2/,Not specified,Not Specified,Not specified,2225x900x1170,770.0,185.0,18.5,130.0,Not specified,Not specified,Not Specified,False,True,False,False,False
建隆 JL125T-12D,7980,Jianlong,Pedal,domestic,Chongqing Construction Electromechanical Co,single cylinder four stroke air-cooled 125cc,7.1,5.2/,CVT continuously variable transmission automatic transmission,standard,Not specified,1895x680x1140,745.0,105.0,8.6,80.0,2,Not specified,Not Specified,False,False,False,False,False
建隆 JL125T-15D,6980,Jianlong,Pedal,domestic,Chongqing Construction Electromechanical Co,single cylinder four stroke air-cooled 125cc,7.1,5.2/,CVT continuously variable transmission automatic transmission,Not specified,Not specified,1810x690x1110,745.0,105.0,8.6,80.0,Not specified,Not specified,"Deep Feather Blue, Star Moon White, Star Moon White/Red, Matte Light Silver Grey, Crystal Black, Indigo Light Blue",False,False,False,False,False
建隆 USR125,7980,Jianlong,Pedal,domestic,Chongqing Construction Electromechanical Co,single cylinder four stroke air-cooled 125cc,7.1,5.2/,CVT continuously variable transmission automatic transmission,standard,Not specified,2005x680x1120,745.0,105.0,6.8,80.0,2.3,Not specified,"gray, white, blue, black",False,False,False,False,False
建海陵 HL250B-D,19800,Hailing,Three wheel,Domestic,Not Specified,oil cooling 226cc,15.6,11.5/,Not specified,Not Specified,xx(mm),2200x1630x1050,770.0,260.0,0.0,70.0,Not specified,Not specified,Not Specified,False,True,False,False,False
海陵 HL250B-2D,24800,Hailing,Three wheel,Domestic,Not Specified,single cylinder four stroke 250cc,15.6,11.5/,Not specified,Not specified,Not specified,2230x1610x1060,770.0,265.0,0.0,70.0,Not specified,Not specified,Not Specified,False,True,False,False,False
海陵 海陵 750,48880,Hailing,Three wheel,Domestic,Not Specified,with 750cc,12.6,Not Specified,Not specified,Not Specified,xx(mm),2230x1590x1000,750.0,130.0,26.0,85.0,Not specified,Not specified,Not Specified,True,False,True,False,False
轰轰烈 顽童150-5D,7585,Vigorous,Street car,domestic production,Not Specified,single cylinder four stroke air-cooled 150cc,12.2,9/7000,Not specified,Not specified,Not specified,1710x770x98,770.0,108.0,5.5,90.0,Not specified,Not specified,Not Specified,False,False,False,False,False
轰轰烈 HL250-19P,15395,Vigorous,Street car,domestic production,Not Specified,250cc,12.6,Not Specified,Not specified,Not Specified,Not specified,Not Specified,770.0,130.0,0.0,95.0,Not specified,Not specified,Not Specified,True,True,True,False,True
轰轰烈 HL 110-7X,5480,Vigorous,Bending beam,domestic,Not Specified,single cylinder four stroke air-cooled 110cc,12.6,Not Specified,Not specified,Not Specified,Not specified,Not Specified,770.0,130.0,0.0,95.0,Not specified,Not specified,Not Specified,True,True,True,False,True
轰轰烈 HL 150-N,6280,Vigorous,Street car,domestic production,Not Specified,single cylinder four stroke air-cooled 150cc,12.6,Not Specified,Not specified,Not specified,Not specified,Not Specified,770.0,130.0,0.0,95.0,Not specified,Not specified,Not Specified,True,True,True,False,True
诺顿 FI,Currently no quotation available,Norton,Not Specified,Not Specified,Not Specified,588cc,12.6,Not Specified,Not specified,Not specified,Not specified,Not Specified,770.0,130.0,20.0,95.0,Not specified,Not specified,Not Specified,True,True,True,False,True
诺顿 F2,Currently no quotation available,Norton,Not Specified,Not Specified,Not Specified,Not Specified,12.6,Not Specified,Not specified,Not specified,Not specified,Not Specified,770.0,130.0,0.0,95.0,Not specified,Not specified,Not Specified,True,True,True,False,True
诺顿 Superlight Twin,Currently no quotation available,Norton,Not Specified,Not Specified,Not Specified,with 650cc,12.6,Not Specified,Not specified,Not specified,Not specified,Not Specified,824.0,130.0,18.0,95.0,Not specified,Not specified,Not Specified,True,False,True,False,True
诺顿 V4 RR & SS,Currently no quotation available,Norton,Not Specified,Not Specified,Not Specified,four cylinder four stroke water-cooled 1200cc,12.6,Not Specified,Not specified,Not specified,Not specified,Not Specified,770.0,130.0,18.0,95.0,Not specified,Not specified,Not Specified,True,True,True,False,True
诺顿 C 652 Combat,Currently no quotation available,Norton,Not Specified,import,Not Specified,single cylinder single stroke water-cooled 652cc,12.6,Not Specified,Not specified,Not specified,Not specified,Not Specified,760.0,130.0,0.0,95.0,Not specified,Not specified,Not Specified,True,False,True,False,True
诺顿 Atlas Nomad,Currently no quotation available,Norton,Retro,imported,Not Specified,water cooling 650cc,12.6,Not Specified,Not specified,1,Not specified,Not Specified,770.0,130.0,0.0,95.0,Not specified,Not specified,Not Specified,True,True,True,False,True
诺顿 961 Sport MK II,Currently no quotation available,Norton,Retro,imported,Not Specified,961cc,12.6,Not Specified,Not specified,Not specified,Not specified,Not Specified,810.0,130.0,0.0,95.0,Not specified,Not specified,Not Specified,True,False,True,False,True
诺顿 Commando 961SF,Currently no quotation available,Norton,Retro,imported,Not Specified,961cc,12.6,Not Specified,Not specified,Not specified,Not specified,Not Specified,770.0,130.0,0.0,95.0,Not specified,Not specified,Not Specified,True,True,True,False,True
诺顿 Commando 961 SE,Currently no quotation available,Norton,Retro,imported,Not Specified,"air-cooled, 961cc",12.6,Not Specified,Not specified,Not specified,Not specified,Not Specified,813.0,130.0,17.0,95.0,Not specified,Not specified,Not Specified,True,False,True,False,True
诺顿 Commando 961 Sport,Currently no quotation available,Norton,Retro,imported,Not Specified,"air-cooled, 961cc",12.6,Not Specified,Not specified,Not specified,Not specified,Not Specified,813.0,130.0,17.0,95.0,Not specified,Not specified,Not Specified,True,False,True,False,True
诺顿 Dominator SS,Currently no quotation available,Norton,Retro,imported,Not Specified,with 961cc,12.6,Not Specified,Not specified,Not specified,Not specified,Not Specified,770.0,130.0,0.0,95.0,Not specified,Not specified,Not Specified,True,True,True,False,True
诺顿 500 Model 18,Currently no quotation available,Norton,Retro,imported,Not Specified,single cylinder single stroke air-cooled 490cc,12.6,Not Specified,Not specified,Not specified,Not specified,Not Specified,770.0,130.0,0.0,95.0,Not specified,Not specified,Not Specified,True,True,True,False,True
诺顿 650SS,Currently no quotation available,Norton,Retro,imported,Not Specified,with 647cc,12.6,Not Specified,Not specified,Not specified,Not specified,Not Specified,770.0,130.0,13.5,95.0,Not specified,Not specified,Not Specified,True,True,True,False,True
诺顿 Atlas 750,Currently no quotation available,Norton,Retro,imported,Not Specified,dual cylinder four stroke air-cooled 745cc,12.6,Not Specified,Not specified,Not specified,Not specified,Not Specified,770.0,130.0,13.5,95.0,Not specified,Not specified,Not Specified,True,True,True,False,True
诺顿 Atlas Ranger,Currently no quotation available,Norton,Retro,imported,Not Specified,with 650cc,12.6,Not Specified,Not specified,Not specified,Not specified,Not Specified,867.0,130.0,15.0,95.0,Not specified,Not specified,Not Specified,True,False,True,False,True
诺顿 C 652 SM International,Currently no quotation available,Norton,Retro,imported,Not Specified,single cylinder single stroke water-cooled 652cc,12.6,Not Specified,Not specified,Not specified,Not specified,Not Specified,830.0,171.0,20.0,95.0,Not specified,Not specified,Not Specified,True,False,False,False,True
诺顿 Classic Rotary,Currently no quotation available,Norton,Retro,imported,Not Specified,dual cylinder two-stroke air-cooled 588cc,12.6,Not Specified,Not specified,Not specified,Not specified,Not Specified,770.0,130.0,23.0,95.0,Not specified,Not specified,Not Specified,True,True,True,False,True
诺顿 Commando 750 Fastback,Currently no quotation available,Norton,Retro,imported,Not Specified,dual cylinder four stroke air-cooled 745cc,12.6,Not Specified,Not specified,Not specified,Not specified,Not Specified,770.0,130.0,10.0,95.0,Not specified,Not specified,Not Specified,True,True,True,False,True
诺顿 Commando 750 Interstate,Currently no quotation available,Norton,Retro,imported,Not Specified,dual cylinder four stroke air-cooled 745cc,12.6,Not Specified,Not specified,Not specified,Not specified,Not Specified,770.0,130.0,25.0,95.0,Not specified,Not specified,Not Specified,True,True,True,False,True
诺顿 Commando 750 Roadster,Currently no quotation available,Norton,Retro,imported,Not Specified,dual cylinder four stroke air-cooled 745cc,12.6,Not Specified,Not specified,Not specified,Not specified,Not Specified,770.0,130.0,10.0,95.0,Not specified,Not specified,Not Specified,True,True,True,False,True
诺顿 Commando 750S Scrambler,Currently no quotation available,Norton,Retro,imported,Not Specified,dual cylinder four stroke air-cooled 745cc,12.6,Not Specified,Not specified,Not specified,Not specified,Not Specified,770.0,130.0,10.0,95.0,Not specified,Not specified,Not Specified,True,True,True,False,True
诺顿 Commando 850,Currently no quotation available,Norton,Retro,imported,Not Specified,with 829cc,12.6,Not Specified,Not specified,Not specified,Not specified,Not Specified,770.0,220.0,19.0,95.0,Not specified,Not specified,Not Specified,True,True,False,False,True
诺顿 Commando 850 JPS,Currently no quotation available,Norton,Retro,imported,Not Specified,with 829cc,12.6,Not Specified,Not specified,Not specified,Not specified,Not Specified,770.0,130.0,12.0,95.0,Not specified,Not specified,Not Specified,True,True,True,False,True
诺顿 Commando 850 Interstate,Currently no quotation available,Norton,Retro,imported,Not Specified,with 829cc,12.6,Not Specified,Not specified,Not specified,Not specified,Not Specified,770.0,233.0,19.0,95.0,Not specified,Not specified,Not Specified,True,True,False,False,True
诺顿 Commando 850 Roadster,Currently no quotation available,Norton,Retro,imported,Not Specified,with 829cc,12.6,Not Specified,Not specified,Not specified,Not specified,Not Specified,770.0,233.0,19.0,95.0,Not specified,Not specified,Not Specified,True,True,False,False,True
诺顿 Commando 952,Currently no quotation available,Norton,Retro,imported,Not Specified,dual cylinder four stroke air-cooled 952cc,12.6,Not Specified,Not specified,Not specified,Not specified,Not Specified,770.0,130.0,17.0,95.0,Not specified,Not specified,Not Specified,True,True,True,False,True
诺顿 Commando 961 Cafe Racer,Currently no quotation available,Norton,Retro,imported,Not Specified,"air-cooled, 961cc",12.6,Not Specified,Not specified,Not specified,Not specified,Not Specified,813.0,130.0,17.0,95.0,Not specified,Not specified,Not Specified,True,False,True,False,True
诺顿 Commando 961 Café Racer MKII,Currently no quotation available,Norton,Retro,imported,Not Specified,Not specified,12.6,Not Specified,Not specified,Not specified,Not specified,Not Specified,770.0,130.0,0.0,95.0,Not specified,Not specified,Not Specified,True,True,True,False,True
诺顿 Commando 961,Currently no quotation available,Norton,Retro,imported,Not Specified,with 961cc,12.6,Not Specified,Not specified,Not specified,Not specified,Not Specified,813.0,130.0,17.0,95.0,Not specified,Not specified,Not Specified,True,False,True,False,True
诺顿 Commando Interpol,Currently no quotation available,Norton,Retro,imported,Not Specified,dual cylinder two-stroke air-cooled 588cc,12.6,Not Specified,Not specified,Not specified,Not specified,Not Specified,770.0,130.0,23.0,95.0,Not specified,Not specified,Not Specified,True,True,True,False,True
诺顿 Dunstall,Currently no quotation available,Norton,Retro,imported,Not Specified,dual cylinder two-stroke ari cooled 745cc,12.6,Not Specified,Not specified,Not specified,Not specified,Not Specified,800.0,130.0,0.0,95.0,Not specified,Not specified,Not Specified,True,False,True,False,True
诺顿 Dominator 77,Currently no quotation available,Norton,Retro,imported,Not Specified,dual cylinder four stroke air-cooled 597cc,12.6,Not Specified,Not specified,Not specified,Not specified,Not Specified,770.0,130.0,0.0,95.0,Not specified,Not specified,Not Specified,True,True,True,False,True
诺顿 Dominator 88,Currently no quotation available,Norton,Retro,imported,Not Specified,dual cylinder four stroke air-cooled 497cc,12.6,Not Specified,Not specified,Not specified,Not specified,Not Specified,770.0,130.0,0.0,95.0,Not specified,Not specified,Not Specified,True,True,True,False,True
